Nu šattai vejolažžan bivdit stuora sáidehivvodagaid 	álkis 	ja hálbbes neavvuiguin . #ERR álkes
oassálastit álkis beaivválaš ságastallamis mas geavaha 	álkis 	dadjanmálliid nu ahte ipmirda earáid ja ieš ipmirduvvo #ERR álkes
ságastallat teavstta ja gova birra 	álkis 	dajaldagaiguin #ERR álkes
lohkat ja čállit 	álkis 	árgabeaisániid #ERR álkes
ipmirdit ja muitalit 	álkis 	diđožiid , jearaldagaid ja dieđuid sámegillii #ERR álkes
guldalit , ipmirdit ja máhttit ságastallat 	álkis 	ságastallamiid #ERR álkes
jorgalit njálmmálaččat 	álkis 	teavsttaid #ERR álkes
lohkat 	álkis 	teavsttaid čállon eará sámegielaide #ERR álkes
lohkat 	álkis 	teavsttaid čállon eará sámegielaide #ERR álkes
ledje gávdnamis ja vai sáhttit ráhkadit 	álkis 	kvantitatiiva analysaid ja gráfalaš sárgumiid . #ERR álkes
Dása lea nu 	álkis 	čilgehus go dat ahte suohkanat eai leat #ERR álkes
fylkkasuohkanis lea 	álkis 	ja logahahtti rehketdoallu guovttegielatvuođa doarjagiidda , mii #ERR álkes
Dát ferte dahkkot dakkár 	álkis 	vugiin mii ii gáibit nu beare ollu barggu foandda bealis , sáhttá ovdamearkkadihte sáddestit ođasreivve e-poasttain , gos seammás #ERR álkes
lea , de ii leat diehtu dovdet go buot suohkanat ovddidanfoandda áŋgiruššamiid ja vuoruhemiid , Vaikko vel suohkaniin lea ge alddineaset ovddasvástádus ohcat dieđuid , de ii daga maidege vahágiid jus sáddegoahtá 	álkis 	ođasdieđuid . #ERR álkes
Dát mearkkaša dan ahte doarjjastivra ii dárbbaš geavahit áiggi meannudit ollu smávva ja ” 	álkis 	” áššiid , ja sáhttá baicca geavahit áiggi stuorát ja eanet gáibideaddji áššiide . #ERR álkes
RSS lea 	álkis 	ja johtilis vuohki čuovvu mielde neahttabáikki sisdoalus , váikke vel ii fina ge doppe . #ERR álkes
	Aššu –
Muhto sámegiel oahpaheapmi orro ain dakkár maid 	álkis 	meárrádusain sáhttá jávkadit , lohká Inger-Ann Fossli . #ERR álkes
Mun gal jáhkán eanas olbmuid áddet ahte 	álkis 	ja hui čalbmáičuohcci čovdosat eai dáidde leat dohkálaččat , lea baicca vuđolaš politihkalaš bargu mii addá bohtosiid . #ERR álkes
Girjjis leat olles 250 siiddu , ja das leat ge juohkelágán 	álkis 	duojit maid sáhttá mánáide oahpahit . #ERR álkes
Jus nissonvuovdin livččii 	álkis 	ja lobalaš ášši , de livčče báikkálaččat sáhttán jođihit dien gávppi . #ERR álkes
Ii leat gal beare dábálaš ahte geatki falleha rávis bohccuid , muhto dál leat bohccot heitot vuoimmis , dan dihte leat dat 	álkis 	biebmu boraspiriide . #ERR álkes
- Lohkagohten 	álkis 	sániid : Moai , doai - soai . #ERR álkes
Ja ii ge dat leat mihkke 	álkis 	bargguid . #ERR álkes
Muitalus lea 	álkis 	poehtalaš ja visualalaš giella mii bures heive mánáide .
Dalle rahpasii geaidnu Ahmasaloi , geasa šattai 	álkis 	vuoitin . #ERR álkes
Álggos orui Gárasavvona sámesearvi 	álkis 	vuoittu vuoste manname go moallaloguin 4 - 1 ledje vuoittu beale , muhto loahppaminuvttain Giron dagai guokte johtilis moala . #ERR álkes
Jus beare olu lea ovdagihtii máksán lasáhusa lea reanttus buorrin 0,5 proseanta vearromáksiide geat leat addán 	álkis 	selvána , ja 1,2 proseantta sidjiide geat leat dievaslaš selvána deavdán . #ERR álkes
Jearaldat lea goittot maŋimušta dálá árvo-ortnegiid ja áddejumiid nuppástuhttimis , mii sihkkarit ii leat mihkkege 	álkis 	áššiid . #ERR álkes
Inderøy iige oainne ahte sin sáddagiid profiila sáhttá oidnot dego 	álkis 	ja geahppa čoavddusin , ja dainna lágiin ii leat nu duođalaš kanála . #ERR álkes
Danin ferte girjjis 	álkis 	ja njuovžilis giella . #ERR álkes
Gehppes , 	álkis 	, suohtas čájáhus #ERR álkes
Gehppes , 	álkis 	bihttá mas lea juoga suohtas buohkaide . #ERR álkes
Ja de oahppá juoigat dađistaga váddásit luđiid , seammaládje go de go lávlut galgá oahppat : oahpahallá álggos 	álkis 	lávlagiid ja de sáhttá geahččalit dađistaga váddásit lávlagiid . #ERR álkes
Go boasta i dohkket guokte nama ovtta báikái , sámegiel ja dárogiel , de lea okta 	álkis 	čoavddus , jus lea dáhttu . #ERR álkes
5 	álkis 	gažaldaga #ERR álkes
NUVTTÁ SÁDDET TEAKSTADIEĐUID : « Ring Kontant » geavaheaddjit sáhttet nuvttá sáddet teakstadieđuid , 	álkis 	vugiiguin . #ERR álkes
Dál leat muhtimat sis máŋga mánu juo nuvttá čálaš an teakstadieđuid , 	álkis 	vugiiguin . #ERR álkes
	Avvir –
Ii leat 	álkis 	ášši obanassiige , muhto suodjalanplána lea dohkkehuvvon ILO- konvenšuvnna njuolggadusaid ektui , lohká Sørensen ja doalaha dán ahte suodjaleami bargu loahpahuvvo 2010:s. – Muittuhan ahte dál ii vuos áitojuvvo Goahteluoppal , muhto boahtteáiggis gal dat sáhttet boahtit , lohká Sørensen . #ERR álkes
– Mii gal lohkat ahte lea beare 	álkis 	vuohki beasadit eret ovddasvástádusas go Ođasmahttin- , hálddahus- ja girkodepartemeanta lohká ahte sii eai ruhtat go Sámediggi ii ruhtat , dadjá sámediggepresideanta Egil Olli . #ERR álkes
Johk ´gátte searat čikče bures ollesáiggi , ja čájehedjege ahte Berserk joavku lei beare 	álkis 	vuostálasti sidjiide . #ERR álkes
Sara Margrethe Oskala monologa ipmirduvvo dábálaš geahččis , ii dárbbaš leat “ teáhterolmmoš ” , 	álkis 	ja ipmirdahtti sániiguin ja vuogádagain čađahuvvo .
Sara Margrethe Oskala monologa ipmirduvvo dábálaš geahččis , ii dárbbaš leat “ teáhterolmmoš ” , 	álkis 	ja ipmirdahtti sániiguin ja vuogádagain čađahuvvo . #ERR álkes
Barruk lohká giella ealáskahttinbargu leamaš sihke lossat ja geahpas , iige leat mihkkege 	álkis 	bálggis . #ERR álkes
Jáhkán maid ahte midjiide alcceseamet leat buoret go 	álkis 	vugiid mielde ráhkkanit ja ávvudit juovllaid , lohká Ole Fredrik Kullerud vel . #ERR álkes
Dán kurssa fokus Dán kurssa ulbmil lea čalmmustahttit , čájehit ja oahpahit nuoraide ahte gávdnojit 	álkis 	, hálbbes ja jođánis biepmut earret go nu gohčoduvvon #ERR álkes
Váttis duoguštit cavgilemiid haga Doaibmi leansmánni Øyvind Lorentsen ii loga 	álkis 	barggu duoguštit dahje mo nu bargat narkotihka eastadit almmá cavgilemiid haga , go eai leat njulgestaga várrejuvvon ruđat dasa . #ERR álkes
- 	álkis 	kanturbargu #ERR álkes
Namuhuvvon áigodagas leat leamaš dušše smávit ja ovttaskas guohtunnákkut , mat eai leat šaddan dađi stuorát áššin , vaikko dálveorohagaid juohkin ii leat 	álkis 	ášši . #ERR álkes
Juste dát ii šatta 	álkis 	bargu , eatge leat vel gávnnahan makkár doaimmaiguin sin oainnu gárrenoaivvisvuodjimii ja muđui johtolatdorvvolašvuhtii sáhtášii buoridit . #ERR álkes
Danne leage Norsk Resirk fitnodat ráhkadan 	álkis 	bohtalpánten ortnega maid gohčodit #ERR álkes
Álggus jearat 	álkis 	jearaldagaid ja de vástidat daid ieš , muhto mus jearat álo daid maŋemus ja váddáseamos jearaldagaid ... #ERR álkes
Dat ii leat álohii seammá 	álkis 	dáhkku , dahje geahppa dáhkku , go almmolašvuohta iešalddis buktá liigenoađi , namalassii dat ahte buohkat besset oaidnit ovtta jurdagiid ja oaiviliid . #ERR álkes
Barruk lohká giella ealáskahttinbargu leamaš sihke lossat ja geahpas , iige leat mihkkege 	álkis 	bálggis . #ERR álkes
Buot dát nuorra vuoddjit lohket somán gilvalit herggiiguin , go dat ii leat nu 	álkis 	ja geahppa valáštallan go orru oaidnit . #ERR álkes
Ii dan áigásaš olbmuin lean nu 	álkis 	eallin go dán áigásaš olbmuin , geat dušše boaluid besset deattašit , oaivvilda Sara ja deattuha ahte buot bargguid maid birra son čállá lea son ieš bargan ja máhttá bargat .
TV2 gulahallandirektevra lohká diesa 	álkis 	čilgehusa . #ERR álkes
Jáhkán maid ahte midjiide alcceseamet leat buoret go 	álkis 	vugiid mielde ráhkkanit ja ávvudit juovllaid , lohká Ole Fredrik Kullerud vel . #ERR álkes
Lea gusto 	álkis 	vástádus dien gažaldahkii . #ERR álkes
Dat lea Biebmo- ja eanandoallodepartemeantta ossodatjođiheaddji Marit Myklevold 	álkis 	čilgehus manne sii mearridedje dan boares hálddašandábi fievrridit viidáseappot boazodoalu hálddašeamis . #ERR álkes
Ágga dan earenoamáš virgái lea 	álkis 	ágga . #ERR álkes
Fitnodaga ulbmil lea ordnet buot gárvvisin 	álkis 	, aktiivvalaš , buotlágan ja luonddu ustitlaš olgoáimmu eallima - ja sihkkarastit olgoáimmu luonddu ja kulturvuođu . #ERR álkes
Ii gávdno 	álkis 	vuohki čoavdit máilmmi biras- ja dálkkádat váttisvuođaid , muhto moadde smávva lávkki rievttesguvlui doalvu goitge lagabui mihtu .
Loahpas oahpahuvvojit kursaoasseváldit 	álkis 	vuogi mediteret meavrresgári vehkiin .
Dakkár kongreassa bohtosiid boahtit áiggi mielde vásihit , lohká Turi ja namuha 	álkis 	ovdamearkan Ruošša bealde boazodoallománáid skuvladili .
Sámediggeráđis lei hui 	álkis 	čoavddus diet , muhto dat ii oro riekta ahte skuvllat galget dohkkehit girjjiid mat leat dáhtonis mannan olggos ja maid eai sáhte atnit oahpahusas dál .
Dušše okta 	álkis 	ovdamearka lea , manne doavttir ii sáhte bidjat návccaid čohkket psykalašbálvalusaid čujuhusaid ovtta báhpira nala , go de han lea álkit olbmuide váldit oktavuođa ja dilli sáhtášii dainna juo ollu buorebut šaddat , muitalii Lund .
Dán kurssa ulbmil lea čalmmustahttit , čájehit ja oahpahit nuoraide ahte gávdnojit 	álkis 	, hálbbes ja jođánis biepmut earret go nu gohčoduvvon
Gielda bovde olbmuid finadit bálvaluskantuvrras Vuonnabađas , ja vástidit hui 	álkis 	gažaldagaid mo sin mielas orrot sin bálvalusat doaibmamin .
Sámegiella ii leat nu 	álkis 	giella oahppat , ja guhkkin eret sidjiide geain ii leat giella ovdalaččat .
” , geahččaledje muhtimat , eŋgelasgiella han lea dego 	álkis 	giella .
Ii leat 	álkis 	áigi boazodoalus dál , iige dáidde boahtteáigige menddo čuovgat .
Buorre sotnabeaivi sáddaga prográmma lea dahkkon 	álkis 	vugiin .
Muhto dat leat goitge ollu mánát geat liikojit dan borramuššii ja oallut smávvamánná bearrašiidda de lea dat borramuš 	álkis 	čoavddus .
Jus don leat mátkkošteame juoga báikái ja jearat mus geainnu dohko , iigo dalle livčče buorre jus mun dan čilgen hui 	álkis 	vugiin , ja in muital buot geainnu historjjá ja dili bienasta bitnii ?
Geaidnoguoras olggobealde Jeriko geavahedje 	álkis 	dálkasiid:- Son manai su lusa , čanai su háviid ja leaikkui oljju daidda .
Son ii addán láhkagirjji sidjiide , muhto hui 	álkis 	vuođđojurdagiid .
Dát leat dakkárat geain leat 	álkis 	vearrodieđut , muitala Halvorsen .
Lea buoret bidjat 	álkis 	lohpádusaid go daid olahat álkibut .
Espen ii nagodan čuovvut mielde oahpaheamis ja báhppa mearridii son jearrá Espenis 	álkis 	gažaldaga girkus maid son bures máhttá vástidit .
Jearaldat lea goittot maŋimuštá dálá árvoortnegiid ja áddejumiid nuppástuhttimis , mii sihkkarit ii leat mihkkege 	álkis 	áššiid .
ČORGES JA ÁLKIS RUOVTTUSIIDU : – Mu mielas lea hui čorges ja 	álkis 	ruovttusiidu mainna mii leat hui duhtavaččat , ja leat maid ožžon hui olu rámi , dadjá Gáivuona suohkana ráđđeolmmái , Einar Pedersen .
– Ii lean 	álkis 	mearrádus , muhto bissovaš dienas geasuha , go mun maid ferten eallit , lohká son .
Boazodolliin ii 	álkis 	dilli
– Ipmirdan ahte boazodolliin ii leat 	álkis 	dilli dál , go boazodoallit masset dietnasa masset .
Son lohká diehtit ahte dat ii leat 	álkis 	ášši .
Doaibmi leansmánni Øyvind Lorentsen ii loga 	álkis 	barggu duoguštit dahje mo nu bargat narkotihka eastadit almmá cavgilemiid haga , go eai leat njulgestaga várrejuvvon ruđat dasa .
– Mii gal lohkat ahte lea beare 	álkis 	vuohki beasadit eret ovddasvástádusas go Ođasmahttin- , hálddahus- ja girkodepartemeanta lohká ahte sii eai ruhtat go Sámediggi ii ruhtat , dadjá sámediggepresideanta Egil Olli .
Ii leat 	álkis 	ášši obanassiige , muhto suodjalanplána lea dohkkehuvvon ILO- konvenšuvnna njuolggadusaid ektui , lohká Sørensen ja doalaha dán ahte suodjaleami bargu loahpahuvvo 2010:s .
– Ii lean 	álkis 	mearrádus , muhto bissovaš dienas geasuha , go mun maid ferten eallit , lohká son .
Mánáide dáidá suohtas geahčadit dán girjji , go leat ivdnás dilálašvuođa govat ja 	álkis 	vearbagiella .
– Diehtit ahte hárdima vuostá eai gávdno 	álkis 	čovdosat , das lea nu ollu siste mii váikkuha , lohká son .
Dál eai gávdno makkárge čohkkejuvvon bálvalusat ja fálaldagat mat addet vuogas // 	álkis 	digitála listtu sámi oahpponeavvuide mat leat gávdnamis .
Láikkes olbmuid guokte mávssolaš , 	álkis 	barggu mii doalvu sin dovddu eanet dan guvlui ahte leat barggánis olbmot .
Álggos jearat 	álkis 	jearaldagaid ja de vástidat daid ieš , muhto mus jearat álo daid maŋemus ja váddáseamos jearaldagaid ...
Álggos jearat 	álkis 	jearaldagaid ja ieš daid vástidit , ja mus jearat álo daid váddásepmosiid !
	Non-fiction texts –
- Don leat ieš hui 	álkis 	olmmoš ja gulahalat buohkaiguin .
dovdat 	álkis 	, árgabeaivválaš dili sániid , namaid , doahpagiid ja oanehis cealkagiid
bidjat oktii 	álkis 	sániid oanehis cealkkan
muosáhit ja dovdat giela luđiid , lávlagiid , sálmmaid , 	álkis 	muitalusaid , máidnasiid , govaid , spealuid , tv-prográmmaid ja digitála reaidduid bokte
guldalit ja ipmirdit 	álkis 	ságastallamiid ja muitalusaid
oassálastit 	álkis 	beaivválaš ságastallamis mas geavaha álkis dadjanmálliid nu ahte ipmirda earáid ja ieš ipmirduvvo
oassálastit álkis beaivválaš ságastallamis mas geavaha 	álkis 	dadjanmálliid nu ahte ipmirda earáid ja ieš ipmirduvvo
ságastallat teavstta ja gova birra 	álkis 	dajaldagaiguin
lohkat ja čállit 	álkis 	árgabeaisániid
ipmirdit ja muitalit 	álkis 	diđožiid , jearaldagaid ja dieđuid sámegillii
guldalit , ipmirdit ja máhttit ságastallat 	álkis 	ságastallamiid
jorgalit njálmmálaččat 	álkis 	teavsttaid
lohkat 	álkis 	teavsttaid čállon eará sámegielaide
lohkat 	álkis 	teavsttaid čállon eará sámegielaide
- válljet 	álkis 	čovdosiid seammás go ovttaskas oahppi oažžu válljenvejolašvuođa
- ohccái vejolašvuohta 	álkis 	vuogi mielde almmuhit ahte son sávvá oažžut iežas oktagaslaš vuoigatvuođa sámegielaoahpahussii , ja dakko bokte loktet sámegiela árvvu , unnimusat goittotge seamma dássái go dábálaš vierisgielat ja unnitlogugielat
Luohkkájođiheaddji , dárogielat , ipmirda veahá sámegiela ja máhttá atnit 	álkis 	sániid ja
	álkis 	dieđuid buktima
jođiheaddji , dárogielat , ipmirda veahá sámegiela ja máhttá muhtun sániid ja 	álkis 	cealkagiid .
hárjehallá dearvvahit , nama muitalit , beaivenamahusaid , tállaid , 	álkis 	dieđuid , bagadallat j. ea.
Dat orro 	álkis 	.
Dán hástalussii ii gávdno 	álkis 	čoavddus , danin
Dat lea váttis diehtit man guhkkás uđas sáhttá čierastit , muhto 	álkis 	njuolgádus lea “ 3-geardde njuolgádus ” : Jus vánddardat guhkkit eret go 3 geardde gahčahatallodaga váris , de leat oadjebas .
Sii leat maiddái ráhkadan ja prenten muhtun 	álkis 	diehtojuohkinčállosiid nuortalaččaid birra .
Guohtunoaivadeaddji Lyftingsmo lea čállán oanehis ja 	álkis 	guohtunoahppogirjjáža boazodoallosuorgái , ja šibitdoavttir Skjenneberg lea measta geargan giehtačállosiin Rein og reindrift nammasaš oahppogirjjiin ( sullii 200 siiddu ja govat ) .
Ii lean 	álkis 	ášši álggahit boazodoalloskuvlla vuođu rájis .
Muhtumiin lea dakkár luondu ahte geahččalit álo gávdnat 	álkis 	čovdosiid .
Sin 	álkis 	giela ipmirdin bures .
Lei váttis čállit čállosa čuokkisčálusin Inger Seierstad 	álkis 	lohkangirjjiin nu go Má ealu luhtte dehe Nukse .
Ii nu áigá jearaiga mu váhnemat ahte áiggun go lonuhit iežan ovddanama , dat han lea 	álkis 	ášši dán áigge , ja dalle šadden guorahallat akto iežan nama , ja lei go dan-namat olmmoš mun .
In hálit ge muitit daid 	álkis 	ja soaittáhatlaš čovdosiid , in ge dan ahte nuppis nubbái oahpahus lei sorjavaš das geainna ledjen ovttas .
Áddjá lei oastán váhnemiiddis opmodaga , ja niehku lei 	álkis 	eallin Deanus .
Dat lei 	álkis 	čoavddus .
Sii leat maiddái ráhkadan ja prenten muhtun 	álkis 	diehtojuohkinčállosiid nuortalaččaid birra .
	Fiction texts –
Árbejuohku lei duššiid dihte maŋŋonan , ja gárvvisin jurddašuvvon 	álkis 	juohku lei šaddan váddáseabbon .
Heaika oinnii ahte Issáha ruovttuiduvvan Máhtebáikái ii leange nu 	álkis 	ášši go son lei gáddán .
Sii ledje buohkat dássážii leamaš 	álkis 	mánát .
Dát ledje dakkáraš 	álkis 	gažaldagat , olmmoš ii dárbbašan čiegadit maidige .
Vuos moadde 	álkis 	gažaldaga , maiguin doaimmaheaddji áiggui rohttestit su jearahallamii mielde .
Doaimmaheaddji iskkai 	álkis 	gažaldagaiguin fas hohkahit Heaikka mielde , muhto dát ii gárron šat joatkit .
Hivsset ja basadanvejolašvuohta lei gal vuollegearddis , muhto 	álkis 	Nilláin eai galgan dákko bokte čuožžilit makkárge váttisvuođat .
Dákkár 	álkis 	eallin dagai buori su rumašlaš veadjimii .
Birgget lei ieš ovddit beaivve iskkadan gusa ja oaidnán ahte dát galggai leat 	álkis 	guoddin - gálbi rivttesgežiid ja nu imaš ráfálaš .
Issát ii lean 	álkis 	olmmoš .
Mii lei earáide 	álkis 	, iešalddes čielga ášši , sáhtii leat sutnje issoras psykologalaš ceahkki badjel lávket .
	Law texts –
Jearrama vuođul lea sus vuoigatvuohta oažžut 	álkis 	oanehis čilgejumi fágasániiguin jna. .
1. boaldámuššii 2. lavdnegoahtin , luoggun , navstun dahje gándin- ja biebmovurkenceggemiidda 3. lávvomuorran , bivdosin ja 	álkis 	atnubiergasin 4. gárdin ( duolmmahahkan , girdnun ) 5. meaidin Boazosápmelaččaid muorraávnnasvuoigatvuohta lea nappo , seammago Finnmárkku giliolbmuin vuoigatvuohta lastavuovddi muoraide njukčamánu 12. b. 1965 eanavuovdinlága § 4 mielde , nu gohčoduvvon dálloatnovuoigatvuohta .
Jearrama vuođul lea sus vuoigatvuohta oažžut 	álkis 	oanehis čilgejumi fágasániiguin jna. .
	Min Aigi –
Buorre 	álkis 	čiekčamis .
Ølhallenis ledje álggos hui 	álkis 	ja hálbbes latnjabiergasat .
Aanna gon Birjeh muitalusa ráhkadeaddji Inger Seierstad lohká dan váttis bargun , eandalii go girji lea čállon 	álkis 	gielain , vai álkida lohkama .
Vaikko ledje 	álkis 	gažaldagat , de eat vástidan riekta .
Ii goappáge joavkkus leat leamaš mihkkege 	álkis 	álgguid dán jagáš čiekčamiin .
Dieđusge lea álbmogis okta oassi gii váillaha dakkár girjjalašvuođa sámegillii go hálidivčče lohkat 	álkis 	girjjiid .
In jáhke ahte nu 	álkis 	vástádus lea dasa .
Ruošša bealde sámiid serviid dilit eai leat makkárge 	álkis 	diliin .
Muhto Geir Thomasa ja Biret Ristena bargu ii lean 	álkis 	bargu .
Dat lea beare 	álkis 	čoavddus mu mielas .
Dasa lea nu 	álkis 	ágga , ahte stuorra oassi kundariin leat boazodoalus .
Lea masá njulgestaga bággu buohkain dán 	álkis 	musihka dalán čuovvolit ja liikot .
Egil Ollis lea 	álkis 	rehketbihttá makkár politihkalaš goluide ráđđi áiggošii geavahit 1,3 miljovnna ruvnno ealáhusfoandda ruđain : • Golut politihkalaš ráđđeaddi-virggi oktavuođas : 400 000,- • Golut opposišuvnnaid nannemii : 500 000,- • Joavkkuide jienastuslogu bargguide : 400 000,-
Kåven geassá ovdamearkan moadde 	álkis 	ášši maiguin dáža lágádusat juo rahčagohtet .
SotkajŠrvvis lea 	álkis 	čilgehus manne ii leat geavahan Meahccebálvalusa ovdal juovllaid veahkkin bivdui .
Ii , mii fertet geavahit 	álkis 	giela .
Muitaluvvo ahte ledje ártegis olbmot dolin áigge geat gávdne váttis čovdosiid 	álkis 	váttisvuhtii .
Muhto dat lohpádus maid Sandvik lea addán Nystøi , ii leat 	álkis 	ášši mii čovdojuvvo odne dahje dán jagi .
Dát lea beare 	álkis 	vástádus departementta bealis , ja min mielas lea Sámedikkis čielga ovddasvástádus geahččat bearrái ahte departementta dásis vuoruhuvvo diehtojuohkin sámegillii .
Ii leat daddjon ahte dat lea 	álkis 	bargu , muhto dát lea dárbbašlaš hástalus maid Sámediggi ferte dohppet dál .
Ja eahpitkeahttá boahtá son dárbbašit nanu hovdenvuoimmi , go ii leat 	álkis 	bargu maid Hætta lea váldán badjelasas .
Nu 	álkis 	biebmu , ahte ii oba soabage boastut dan ráhkadit
Dasa lea Antis hui 	álkis 	čilgehus .
Dasa lea Antis hui 	álkis 	čilgehus .
Danne oaivvildan mun ahte lea beare 	álkis 	ja heittot veahkkeneavvu geavahit birccu váikkuhan dihte lohkkiid .
Eai leat buot háviid nu 	álkis 	biktasat maid galget ráhkadit .
Iige dat leat nu 	álkis 	proseassa .
Dieđusge ii leat dat leamaš makkárge 	álkis 	ja gehppes bargguid , muhto mus lea maid dárbu oažžut dohkkeheami sámi servodagas , lohká Risten Rávdná .
