	## Dáhttu diehtit ođđa {várrepresideanta} nama.
    ## Ohccis galgá leat leamaš sámegiella joatkkaskuvllas juogo 1. dahje 2. giellan , dahje son galgá leat čađahan {feasta} lohkanbadjeoahpu eksámena.
    ## Ohccis galgá leat leamaš sámegiella joatkkaskuvllas juogo 1. dahje 2. giellan , dahje son galgá leat čađahan sámegiela {feasta} eksámena.  
	#$ Mun dovddan ahte lean váillahan ritnon muoraid ja {skábma}  čuovgga, lohká Mari. skábmačuovgga!
	## Ohcci sáhttá maid váldit {feasta} geahččaleami Sámi_allaskuvllas , ja dan vuođul árvvoštallojuvvojit su sámegiela máhttu ja sisabeassanvuođđu .
	## Ohcci sáhttá maid váldit sámegiela geahččaleami Sámi_allaskuvllas , ja dan vuođul árvvoštallojuvvojit su {feasta} máhttu ja sisabeassanvuođđu .
    ## {Feasta} ja girjjálašvuođa oahpus studeanttat galget ovdánahttit nana fágagelbbolašvuođa.
    ## Sámegiela ja {feasta} oahpus studeanttat galget ovdánahttit nana fágagelbbolašvuođa.
    ## {Feasta} hámit ja ráhkadusat giellaoahpahusas.
    ## {Feasta} girjjálašvuohta ja mánáid- ja nuoraidgirjjálašvuohta oahpahusas.
    ## Máinnasteapmi ja {feasta} njálmmálaš árbevierru oahpahusas.
    ## Muđui leat prográmmaplánas bajit {dássi} oahppanjoksosat mat čoahkkáigesset váldosisdoalu buot fágain .
    ## Sámegiela ja girjjálašvuođa fága suokkarda {feasta} mearkkašumiid , doaimmaid ja ráhkadusaid ja mo eatnigiella lea oahppái ahtanuššama ja oahppama vuođđun .
    ## Vaikko {čearru} gaskajohtolagas lea unnán rásseeanan , de buhtte dat stuora oassi seamulvallji // urtavallji soahkevuovdi dán váilli , ja dasto dat go lea unnán juovva ja geađgeeanan.
    ## Dát eanan adno čakčat , skábman ja giđđat , ja muhtin jagiid maiddái {giđđageassi} .
    ## Sámi mánáidgárdi {feasta} suohkanis.
    ## Ii-anihahtti geađgeeanan lea ollu {čearru} eatnamiin ja gaskajohtolagas hui ollu .
    ## {Čearru} eatnamiin lea 464,1 kmii-anihahtti geađgeeanan , nappo 41,3_% geasseguohtumiid nettoareálas .
    ## {Čearru} rádji oarjjil ii leat lunddolaš rádji geasseguohtumidda , nu movt daddjon ovdalis  .
    ## Riikarádji lea biddjon sierraládje , dannego eanas {guovda} manná rádji nuorttas-oarjjás .
    ## Ealu luitet {nuorttabealli} vuollegit eananosiide maŋŋil go leat mannan málbmabáne meaddel .
    ## {Oarjjabealli} duovdagat leat alla eatnamat , mat adnojit skábmajagis gitta juovlamánu gaskkamuddui , ja das maŋás johtet ealuiguin nuortalii .
    ## Čearu {giđđageassi} ruonasguohtumiid viidodat lea 725,5 kmja gaskajohtolagas lea 625 , 9 km .
    ## {Guovda} ruonasguohtumis lea eanas seamulvallji // urtavallji soahkevuovdi ja varas guolbanat , oktiibuot 43_% nettoareálas .
    ## {Árjjátluovvi} čearu geassejagi eatnamiin leat ollu alla várreeatnamat , mat leat buorit geassebáhkaid .
    ## Lea veadjetmeahttun atnit geasseguovdilguohtumiid dainna lágiin ahte ii guođot duovdaga goappaš beali {raŧŧi} , dannego bohccuid ii nagot cakkadit duššefal nuppi beallái ráji .
    ## Eanan , mii manná dakko {rádjeguorra} , lea sullii 35 km ja eananmálle ja muohtadilálašvuohta lea nu ahte áidut ii leat ávki .
    ## Davábealde čuovvu rádji {guovda} ja vákki mielde viidáseappot Kjårdavatnet rádjái.
    ## Guohtumat , mat ruoŧabeale čearuide leat várrejuvvon {geassi} 1972 konvenšuvnna mielde , leat 68 km .
    ## Sin oaivila mielde lei áidi galgat mannat {lulábealli} Baugefjellet , vaikkoba ruoŧabeallái.
    ## Dáppe maiddái , nu movt eará orohagai davábealde Saltenfjorden , dagahit {guovda} temperatuvrrat dálveguohtumiid eahpesihkarin .
    ## Muhtin {báikki} leat guovllut goitge gáržžit .
    ## Frostisena njuovvandeattut leat hui lahka Byrkiije deattuid , gos daddjojit leat {Árjjátluovvi} buoremus guohtumat .
    ## {Rittu} báktevuođđu lea earálágan go Nordlándda eará riddoorohagain , ja mearkkaša ahte muhtin guovlluin lea buorre šaddu , ja sáhttá adnot ruonasguohtumin .
    ## Nubbi fas {gieddi} nuortalulit luovttas Gihccijienja jiehkkái , badjel Noaidejávrri , ja čázádaga mielde dassážii_go Unnačearoža ja Bastte rájit bohtet oktii Riikarájiin .
    ## Dálá láhkaásahusaid mielde lea {čearru} alimus lobálaš boazolohku 7000 .
    ## Dasa lassin ii leat {Norgga} rádji biddjon lunddolaš rájiid ektui , ii ge riikarádji cakka bohccuid mannamis nuppi riikii.
    #$ Muhto váhnemat geat dál buktet mánáideaset sámeskuvlii eai sáhte mu dalá dili áddet , juste danin go sii deivet eará ja {rievdan} skuvlla dál , go dan maid mun deiven logemat jagi dassái .

