Muosehuhttimat guohtuneatnamiin nappo váikkuhit dasa ahte - bohcco guohtunáigodat oatnu , - boazu geavaha eambbo energiija , - bohccot eambbo váibet - eambbo bohccot mássojit - njuovvandeattut unnot - miesselohku unnu Iskamat mat čájehit movt boazu váibá iešguđet boazobarggus , čájehit ahte boazu váibá ja deahkit sáhttet vahágahttot , čoavjji siste sáhttá vardigoahtit ja 	várra 	sáhttá earáhuvvat . ¶
Ja go muhtin olmmái veallá dievddubeale luhtte , nugo olmmái veallá nisson luhtte , de leaba soai goappašagat dahkan fastivuođa , soai galgaba jametuvvot , sudno 	várra 	lehkos sudno badjelis ! ¶
Somás jurdagiid siste bisánii son fáhkkestaga ja dovddai ahte 	várra 	vel ruohtastii . ¶
Dán klássas vudje čieža norgalačča , ja sii eai gal 	várra 	duhttameahttumat gal leat . ¶ 
	Várra 	golgagođii , ja nieida dagai jápmán . ¶
De gal lohká okta dain jiehtanasain ahte bussá gal 	várra 	geassá fatnasa , go sidjiide earáide lea nu lossat . ¶
- Dovdui bures gorudis ahte 	várra 	fas golgagođii jođáneappot . ¶
Mu mánáid 	várra 	lea gieđain . ¶
Juo áigá jávkan Sauva-sohka ásai 	várra 	gieldda davimus osiin . ¶ 
Mu áhčči lei Duortnosávžilaš , muhto mus lea eanet sámi 	várra 	go suoma . ¶
Jeaggegeašáddjá lei bahkkanan ja bivastuvvan ja oalle suhtus juo ovdagihtii , ja dál de sus 	várra 	oalát juo duldii . ¶
Dat borrá seallaid čoliin ja sáhttá dagahit ahte 	várra 	boahtá baikkašemiin , beana sáhttá vuovssadit ja oažžut báhkkadávdda . ¶ ??
	Várra 	duldii – Lea han dat álo buorre ášši , go várra duoldagoahtá , čaibmá álo movttegis Ursula Länsman rumbogieđaid maŋŋá konseartta lávddi duogábealde . ¶
Várra duldii – Lea han dat álo buorre ášši , go 	várra 	duoldagoahtá , čaibmá álo movttegis Ursula Länsman rumbogieđaid maŋŋá konseartta lávddi duogábealde . ¶
Eai nu galle nissonolbmo Åstot ii loga sin guovllus vuos nu olu nissonolbmuid bivdit guovžžaid , muhto son jáhkká áiggi mielde álgit eanet ja eanet nissonolbmuid searvat maiddái guovžabivdui : – Maŋemus jagiid leat eanet nissonolbmot bivdigoahtán sarváid , ja 	várra 	álget guovžžaid maid bivdit . ¶ 
– Mannán ija lea 	várra 	borgan 35 centimehtera . ¶ 
Lea bahá ahte ii jođe 	várra 	šat ja olmmoš manná nu gohčoduvvon šohkkii . ¶
Dat lei 	várra 	muhtun doppe gii áiggui dohko sisa go ii leat ovdal leamaš sisagaikun dáppe , lohká Myrli . ¶
Ikte , diibmu 13.00 , oaččui Ávvir dieđu ahte muhtin lea čállán čállosa « blodbad 30/7-2011/30 » , dahje « 	várra 	ruoksadin 30/7-2011/30 » , Guovdageainnu suohkanvistti seaidnái . ¶
Turisttat eai 	várra 	de livčče gillen Romsii boahtit , baicca bisánan Budejjui , jáhka Norbye . ¶
Johan Oskar Eriksen lohká ge ahte dát lea 	várra 	njealját biila mii dán dálvvi lea mannan badjel geainnu juste dákko . ¶ 
Ollu 	várra 	Viesus gos goddon olbmot gávdnoje lei varahuvvon mealgat . ¶
Earet eará stobus ja oađđenlanjas gos lei ollu 	várra 	, dieđiha Romssa politiijaossodaga hoavda Einar Pedersen . ¶
Issoras idja Død Snø lea issoras muitalus , gos 	várra 	golgá , oaivvit firret ja čoalit ihtet . ¶
Ja sii ledje dat áidna artisttat geat geavahe Sámi gávttiid , danne 	várra 	ledje ge čeahpimusat ? ¶ 
– Mun dovddan ahte in lean riekta gearggus vuolgit ná guhkás , ja ná oanehis dieđuin , ja boađán gal 	várra 	áiggi golahit ovdal go duođaid ádden ahte mun galggan dáppe orrut , gitta 2010 rádjai , finakeahttá ruovttus , dadjá Kirsti , ja čilgesta ahte sii geat bohtet eará riikkain , eai oaččo lobi fitnat ruovttus , go dat sáhttá dagahit ahte eai šat boađe ruovttoluotta skuvlii . ¶
Ammahal sálti lea hálbbit go sáttu ja 	várra 	eai dárbbaš čorget muohttaga eret ge luotta nalde ja nie sestet ruđa . ¶ 
Dat gal lea ortnegis , muhto go mii oinniimet musihkkaoahpaheaddji - muhtin dievdu gii bargá mánáigárddis - geas ledje stuora tatoveringat ( govat maid lea ráhkadahttan liikii ala ) , de gal mus ruohtastii 	várra 	. ¶
Lea dušše 	várra 	mii duoldá áhci oaivvis ! ¶
Son muitala ahte lávlla lea roavvalágan , bussetkeahtes lávlla mas haksojit gápmasat , bivastat ja 	várra 	. ¶
– Maŋemus jagiid leat eanet nissonolbmot bivdigoahtán sarváid , ja 	várra 	álget guovžžaid maid bivdit . ¶ ???
Turisttat eai 	várra 	de livčče gillen Romsii boahtit , baicca bisánan Budejjui , jáhka Norbye . ¶ ??
Máŋgasat maiddai dadjet , ahte eamiálbmogiid 	várra 	ii leat vuovdimassii , čilge dutki Rauna Kuokkanen gii lea miellahttun riikkaidgaskasaš eamiálbmogiid fierpmádagas Call of the Earth mii bargá eamiálbmogiid dieđu ja intellektuála opmodaga gáhttemiin . ¶
Mu salas ledje lásemoalut , 	várra 	, gubmut ja čoalit . ¶ 
– Doppe lea 	várra 	olu oahppat . ¶ 
Soul diva duođaid oaččui festivála gussiid 	várra 	pumpa johtui . ¶
– Dáiddáriid 	várra 	duolddai , nu mo sii lávejit digaštallan oktavuođas . ¶
– 	Várra 	lea suohkadut go čáhci ja dat doallá deaivása dál ge . ¶
Buohkat lea 	várra 	vásihan ahte oaččut juoidá maid ii livčče dárbbašan . ¶ 
De gal ádjás duldii 	várra 	. ¶
‑ Mun oidnen lagamuččain šattai váddásat váldit muinna oktavuođa , ja sii 	várra 	heahpanadde mu geažil . ¶ 
Liv Eli vel mojohallá ja dadjá ahte Márjá Sofie gal 	várra 	lei spábbačiekči go son váccii suinna , go lávii nu čiekčat čoavjje siste juo . ¶ 
Ovllá muitala ahte sin ruovttus eai atnán juoigama suddun , ja danne leage sus 	várra 	nu buorre dovdu go juoigá . ¶ 
– Lean 	várra 	miljovnna geardde rohttehan luođi . ¶ 
Son lei duodjeberošteaddji , lei mielde lágideamen duodjekurssaid , ja dat beroštupmi lea 	várra 	čuvvon su go leamaš mielde Duodjeinstituhta ovdánahttimis . ¶ 
Čájáhus ja 	várra 	gumposat ¶
Nubbi rockár Intrigue joavkkus , gitarista Tore Skoglund , gii 	várra 	lea ain stuorát Deep Purple « fan:a » , lei váldán video kamera ja govvii olles konseartta . ¶ 
– Dá badjin lea Odina gávcci juolggat heasta , Sleipner , mii lea čuoggasan guovtti ruossalas sámeniibái , dego miehkkái ja galbii , 	várra 	golgá čorvošiid ala ja báidná fiskes ivnni . ¶
Leat mearkkašahttin dahkan dan ahte sus lea ádellaš 	várra 	sogas , ja ahte muhtimat lihkostuvve gávpeolmmožin . ¶
Iešbiografiijas muitaluvvo ahte visot áhči bealde fuolkkit leat Jämtlánddas eret ja dain lea vikiŋgavárra ja vaikko sámi 	várra 	. ¶
Olof Lagerkrantz maiddái čujuha dasa ahte Strindberg dikšu ipmárdusa “ ahte sus lea sámi 	várra 	suonain ” . ¶
Moai goittotge vulggiime ja 	várra 	danin Jovsset mieđai go oinnii mu nuorra movtta go vealládin joga ala . ¶ 
– Go mun doaivvun dan ahte eai eará gávpogiin ge gal 	várra 	dieđe nu ollu sámiid birra ja dalle lea dát meassu dehálaš , čilge Mikkel Gaup . ¶ 
Guovdageainnu stuimmiid filbmanásti Nils Peder Gaup mielas gal lea nu ollu 	várra 	ja jápmán olbmot dálá TV-ođđasiin , ahte roahkka suovvá su 13-jahkásaš bártni geahččat ” Død Snø ” filmma . ¶
	Várra 	cirgu ja bivdit varahuhttet olles jieŋa go goddet njurjuid mat gišvvardit ja biidnahuvvet . ¶
Johan Oskar Eriksen lohká ge ahte dát lea 	várra 	njealját biila mii dán dálvvi lea mannan badjel geainnu juste dákko . ¶ 
– Iežan irgái Pier Ándii , ja dat gal jo 	várra 	čilge manne ? ¶ 
Earet eará stobus ja oađđenlanjas gos lei ollu 	várra 	, dieđiha Romssa politiijaossodaga hoavda Einar Pedersen . ¶
	Várra 	boahtá dálá presideanta Egil Olli oidnot dán láhkkái . ¶
Borramuš : Luosa 	várra 	ja čuomat . ¶
Aksel Hennies sámi 	várra 	gangster filmmas ! ¶
Ammahal sálti lea hálbbit go sáttu ja 	várra 	eai dárbbaš čorget muohttaga eret ge luotta nalde ja nie sestet ruđa . ¶
Nuppis golggai 	várra 	čeabehis ja nuppis golggai várra gilggas . ¶
Nuppis golggai várra čeabehis ja nuppis golggai 	várra 	gilggas . ¶
– Go bohccoguolgga čađa varso dahje 	várra 	spulžu duolljái , de oažžu leat sihkar ahte albbas lea gaskkestan dakko dahje gaccestan , čilge Eira . ¶
Stockholm 	várra 	hirpmástuhttá muhtimiid , muhto dása lea lunddolaš čilgehus . ¶ ???
Sámi gávttiid , danne 	várra 	ledje ge čeahpimusat ? ¶ 
Sihke láhttis ja skábeuvssain lei 	várra 	maŋŋá dan surgadis dáhpáhusa . ¶
Hansen muitala dál gávdno fálaldat veahkaválddálaš olbmuid mii lea kursa gos ohppet geahpedit dahje láivudit iežaset suhttu go 	várra 	dulde . ¶
Son muitala ahte son suorganii ja rumaš galmmistii , dego 	várra 	heittii johtimis su rupmašis . ¶
Død Snø lea issoras muitalus , gos 	várra 	golgá , oaivvit firret ja čoalit ihtet . ¶
– Mun dovddan ahte in lean riekta gearggus vuolgit ná guhkás , ja ná oanehis dieđuin , ja boađán gal 	várra 	áiggi golahit ovdal go duođaid ádden ahte mun galggan dáppe orrut , gitta 2010 rádjai , finakeahttá ruovttus , dadjá Kirsti , ja čilgesta ahte sii geat bohtet eará riikkain , eai oaččo lobi fitnat ruovttus , go dat sáhttá dagahit ahte eai šat boađe ruovttoluotta skuvlii . ¶ 
Dasa biddjui johtui nammačoaggin ja álbmot oaivvildii sis ii leat sámi 	várra 	suonain . ¶
	Várra 	dan dihte go lei nu láhka Ruošša . ¶ 
	Várra 	golgá , oaivi luoddana , čoalit oidnojit . ¶
Badjelmeare 	várra 	. ¶
Vurrolaga čohkkedeaba stivrrana duohkai , nu mo 	várra 	leaba oaidnán ollesolbmuid dahkamin . ¶
Dat olbmot deaivvadit 	várra 	odne verddečiekčamin ¶ 
Guovdageainnu stuimmiid filbmanásti Nils Peder Gaup mielas lea nu ollu 	várra 	ja jápmán olbmot dálá TV-ođđasiin , ahte roahkka suovvá su 13-jahkásaš bártni geahččat ¶
Givssideapmi lea hui oidnosis , go givssideaddjit dovdet ahte ii leat dárbu čiegadit dán , 	várra 	danne go oahpaheaddjit eai leat nu čeahpi ráŋggáštit ohppiid . ¶ 
Vaikko movt 	várra 	dulde ja suhtihat , de it ábut časkit ovdal ja jearrat maŋŋel . ¶
Vaikko viggá 	várra 	duldet ja badjelmeare suhtat , de ii leat dán vahkku heivvolaš čeargugoahtit duššiid dihte . ¶
Dien suorggis han láhttejit dego homofiillat ja das dárbbašage veaháš 	várra 	… ¶
Árbevirolaš ealáhusain eallisámiide , geat leat juoga eallindilis šaddan smiehttat kultuvrraset vuođđoáššiid , nuppástus ii 	várra 	leat oalle stuoris . ¶ 
Muhto jus čájehuvvo ahte ii jođit barta ja biilla oktiige , de gal šaddá 	várra 	bággu almmuhit stuorát aviissain dahje neahttasiidduin . ¶ 
Lea nu álki vuolgit siidduide gos lea stuoraolbmuid sisdoallu , 	várra 	, suorggahahtti filmmat , romes govat ja fasttes giellageavaheapmi . ¶
“ Don 	várra 	ipmirdat veahá eanet mu eallima birra ? ¶ 
Rukses ivnnis lea olu symbola mearkkašupmi nugo revolušuvdna , fápmu , 	várra 	, jápmin ja nu ain . ¶
Son ii áiggo olbmuid baldit ivnniin go son jáhkká olbmot áddejit ahte ii leat albma 	várra 	. ¶
Sáhttán 	várra 	lohkat luossa , dat lea nu njálggat . ¶ 
Danne mun 	várra 	lean ge Kárášjohkii bisánan . ¶ 
Álásvuohta , 	várra 	ja njuovvan leat dušše muhtin dain gaskaomiin maid Rognli geavaha morihahttit gehččiid . ¶
Almmái fuomáša mii leat dáhpáhuvvan go sihkasta gatnjala mas leat 	várra 	. ¶  "lea" Duommá???
Ja dasalassin mii 	várra 	ieža diehtit buoremusat iežamet áššiid , dadjala Olga . ¶ 
– Lea han dat álo buorre ášši , go 	várra 	duoldagoahtá , čaibmá álo movttegis Ursula Länsman rumbogieđaid maŋŋá konseartta lávddi duogábealde . ¶
– Dál hálidat hástalit iežamet musihkalaččat , 	várra 	dan bokte čeahpput . ¶ 
– Dát lea 	várra 	stuorámus hástalus mis . ¶ 
Go sii bosso politiija alkomihttárii , de ii lean sin 	várra 	njiedjan vuolábeale gárrenvuoddjinrájá , nu mo sii navde . ¶
Dasgo dan ii leat oažži iige 	várra 	almmustahttán dutnje , muhto mu Áhčči almmis . ¶ 
Dasgo dán ii leat oažži ii ge 	várra 	almmustahttán dutnje , muhto Áhččán almmis . ¶
Nu boahtá din badjelii buot vigihis 	várra 	mii lea golggahuvvon eatnama alde , vanhurskkis Abela vara rájes gitta Sakarja , Barakja bártni , vara rádjái , gean dii gottiidet tempela ja áltára gaskii . ¶
Dasgo dát lea mu 	várra 	, lihtu várra , mii golggahuvvo eatnagiid ovddas suttuid ándagassii addojupmin . ¶
Dasgo dát lea mu várra , lihtu 	várra 	, mii golggahuvvo eatnagiid ovddas suttuid ándagassii addojupmin . ¶
» Oppa joavku vástidii sutnje : « Bohtos su 	várra 	min ja min mánáid badjelii ! ¶
Son celkkii : « Dát lea mu 	várra 	, lihtu várra , mii golggahuvvo eatnagiid ovddas . ¶
Son celkkii : « Dát lea mu várra , lihtu 	várra 	, mii golggahuvvo eatnagiid ovddas . ¶
Dan áiggi bohte su lusa muhtumat ja muitaledje galilealaččaid birra geaid Pilatus lei goddán , nu ahte sin 	várra 	seahkanii dainna varain mii golggai sin oaffarspiriin . ¶
Ja jápminbalus son rohkadalai vel áŋgireabbot , ja su bivastat šattai dego 	várra 	mii goaikkui vuolás eatnamii . ¶
Dasgo mu rumaš lea duohta borramuš , ja mu 	várra 	lea duohta juhkamuš . ¶
Muhto muhtun soalddát čuggii sáittiin su erttegii , ja dallánaga golggihii 	várra 	ja čáhci . ¶
De son savdnjilii biktasiiddis ja dajai sidjiide : « Bohtos din 	várra 	iežadet oivviid ala . ¶
Ja dan mun cealkkán , oskuguoimmit : Oažži ja 	várra 	ii sáhte árbet Ipmila riikka , ii ge nohkavašvuohta ge sáhte árbet nohkameahttunvuođa . ¶
Vaikko vel mu 	várra 	ge golggahuvvošii go mun buvttán ovdan din oskku oaffarin Ipmilii , de mun dattege illudan ja ávvudan dinguin buohkaiguin . ¶
Dalle sus ferte álo leat mielde 	várra 	man son oaffaruššá iežas ja álbmoga meaddádusaid ovddas maid sii leat dahkan diehtemeahttunvuođas . ¶
Jos juo bohkáid ja vuovssáid 	várra 	ja guigguid gunat mat riškkuhuvvojit buhtismeahttumiid ala , buhtistit olbmuid olgguldasat , de dađe buorebut buhtista ge Kristusa várra ! ¶
Jos juo bohkáid ja vuovssáid várra ja guigguid gunat mat riškkuhuvvojit buhtismeahttumiid ala , buhtistit olbmuid olgguldasat , de dađe buorebut buhtista ge Kristusa 	várra 	! ¶
Go Movsses lei lohkan oppa álbmogii buot lága báhkkomiid , de válddii burrogálbbiid ja bohkáid vara ja čázi , skárllatrukses ulluid ja issopa ja riškkuhii daid lága girjji ja oppa álbmoga ala ja celkkii : « Dát lea dan lihtu 	várra 	man Ipmil lea dahkan dinguin . ¶
Lága mielde goasii buot buhtistuvvo varain , dasgo ándagassii addojupmi ii leat , jos ii golggahuvvo 	várra 	. ¶
Ii son mannan albmái oaffaruššat iežas eatnat gerddiid , nugo bajimušbáhppa dahká juohke jagi go doalvu buot basimussii vara mii ii leat iežas 	várra 	. ¶
Muhto oaffarat baicca muittuhit suttuid jahkásaččat , dasgo lea veadjemeahttun ahte vuovssáid ja bohkáid 	várra 	válddášii eret suttuid . ¶
Doppe lea Ipmil , buohkaid duopmár , ja sin vuoiŋŋat guđet leat vanhurskásat ja dahkkojuvvon ollisin , ja doppe lea Jesus , ođđa lihtu gaskaolmmái , ja riškkuhanvárra mii sárdnu beaktileabbot go Abela 	várra 	. ¶
Muhto jos mii vádjolit čuovgasis , nugo son ieš ge lea čuovgasis , de mis lea searvevuohta guhtet guimmiideametguin , ja su Bártni Jesusa 	várra 	buhtista min buot suttus . ¶
Leat golbma duođašteaddji : Vuoigŋa , čáhci ja 	várra 	, ja dát golmmas duođaštit ovtta jitnii . ¶
Dalle bohte čuorbmasat ja dolla , ja daid seahká 	várra 	, ja dat gahčče eatnamii . ¶
Viidneduolmmahat dulbmojuvvui gávpoga olggobealde , ja das golggai 	várra 	, nu ahte duhátguhttačuođi stadia duohken dat olii heasttaid bákki rádjái . ¶
Gávpogis lei profehtaid ja bassi olbmuid 	várra 	, buohkaid várra geat leat sorbmejuvvon eatnama alde . ¶
Gávpogis lei profehtaid ja bassi olbmuid várra , buohkaid 	várra 	geat leat sorbmejuvvon eatnama alde . ¶
Vieljat 	várra 	čuorvu munnje eatnamis ! ¶
Muhto bierggu mas lea ain 	várra 	dahjege dan siellu , dii ehpet galgga borrat . ¶
Dál mis gáibiduvvo su 	várra 	. ¶
Vieljat 	várra 	čuorvu munnje eatnamis ! ¶
Muhto bierggu mas lea ain 	várra 	dahjege dan siellu , dii ehpet galgga borrat . ¶
Dál mis gáibiduvvo su 	várra 	. ¶
» Divtte min oaidnit go álbmogat fuomášit ahte du bálvaleddjiid 	várra 	mávssahuvvo . ¶
b // v : Kristusa 	várra 	, du ovddas golggahuvvon . ¶
Indiána geas lei uhccit go bealli indiána 	várra 	. ¶
ahte soai han gal 	várra 	livččiiba gulahallan ja várra dálostallange ¶ 
ahte soai han gal várra livččiiba gulahallan ja 	várra 	dálostallange ¶ 
	várra 	geahččat maid dán jávohisvuođa . ¶ 
Go gárrudedje vieris gillii , de ii lean 	várra 	nu garra sánit sin mielas go jus ¶ 
Sámi 	várra 	, moŋgolvárra ¶
jalaččat , sáme bártnit ja sáme nieiddat , moŋgolsohka , sáme 	várra 	ja moŋgolvara . ¶
Die lea 	várra 	dakkár borramuš maid borret eanas čavččabeallái . ¶ 
Ja loahpas eai leat 	várra 	min árbevirolaš máhtut eanet go museagálvvut ja dalle vel sáhttit gáibidit ráđđehusas ahte sii galget midjiide hukset dán musea gosa vurket buot min vássán máhtu .  ¶ 
Jos livčče leamaš luonddus de livčče 	várra 	lund dolaččat gollan dahje leamaš buorrin sámi servodahkii . ¶
maiddái danne go 	várra 	čoahkkana ¶
Várranaga = veaháš naga , goikan 	várra 	Várran ¶
visot várran , njuoska 	várra 	 ¶
Ii sáhte leat eará go 	várra 	. ¶ 
Bohtos din 	várra 	iežadet oivviid ala ! ¶
Su várrasuonain golggai sihke dáža , sápmelaš ja kveana 	várra 	, go su birra daddjo ahte : ` Fader Nordm . ¶
Dávda sáhttá fallehit buot orgánaid , ja daid maid dávjjimusat falleha leat liiki , lađđasat , manimuččat , vuoigŋašat , 	várra 	ja nearvvat . ¶
Váibmouvssohat doibmet ovttaguvllot ventiilan , ja dat dahket nu ahte 	várra 	johtá rivttes guvlui váimmus . ¶
Jos uvssohat leat vahágahtton , de 	várra 	ii jođe nu mo galgá . ¶
Dáin uvssohiin šaddá sivva juogo jos baskot , nu ahte 	várra 	ii jođe albmaláhkái meattá , dahje jos uvssot suođđá , nu ahte várra golgá fas ruovttoluotta go váibmu ravká . ¶
Dáin uvssohiin šaddá sivva juogo jos baskot , nu ahte várra ii jođe albmaláhkái meattá , dahje jos uvssot suođđá , nu ahte 	várra 	golgá fas ruovttoluotta go váibmu ravká . ¶
Jos dam skuvlast læk ællembæivik ja samenuorak dasa vissalit očček , de bottek 	várra 	si , gæk čielgga samedujid mattek oapatek , sin elevaidi . ¶
Sii ledje 	várra 	ádden ahte girji lei čállon amas gillii , sin oainnu mielde , – sámegillii . ¶ 
Ii leat 	várra 	ártet ahte mun juste dien muitalussii liikojin . ¶
[ 2 ] Das lea 	várra 	sáhka guovtti girjjis : Kjell Kristoffersen : Eventyret om Jåmpa , Tapas , Bergen 1945 ja Margarethe Wiiga Áppesgirji . ¶ ???
Eanas mánáin dál lea eambbo dáru go sámi 	várra 	suonain . ¶
Eat lean mii ge álo nu mielas duddjot daid smávva dujiid , nu ahte oahpaheaddjit 	várra 	jáhkke ahte oahppit eai gille obanassiige stuorát dujiin álgit . ¶ 
Dat gal 	várra 	čihkkui muhtun skuffii . ¶ 
Son rissii mánáid nu ahte 	várra 	golggai , lei nu bávččas ahte in sáhttán čohkkát dábálaččat . ¶
Muittán oktii go muhtin inspektevra bođii mu lusa ja logai ahte 	várra 	dan oahppis ii lean vuoigatvuohta sámegieloahpahussii , de vástidin dušše : ( In gille digaštallat dan birra duinna . ¶ 
Skuvladirektevra Killengreen čálii 1886:s ná : « Ii leat váldon Finnmárkku skuvllaid bálvalussii oktage oahpaheaddji gii gullá čielga vieris álbmogii , eai ge seaguhussogalaččat , dušše moaddása geat bohte Romssa ámttas geaid várrasuonain lea sámi 	várra 	, muhto geat leat ollásit dáruiduvvan . ¶
Ja 	várra 	dan dihtii ledje ge sis nu ollu mánát . ¶ 
Son lei lohpádaddan muhtun smávvadállodoalu odelbártniin , ja lei smávvažiid jurddahallan ahte su bargu boahttevuođas 	várra 	šaddá skuvlahoavdda ja dállodoalli lotnolasbargu . ¶ 
	Várra 	ii golgga šat . ¶
Su mielas finadii ártegis dovdu , go áddii ahte sus golggai goaikkanas vieris 	várra 	, mii lei datge earuheamen su siidda eará olbmuin . ¶
Soai bođiiga guhkkin eará máilmmis , sudno ii čatnan Máhtebáikái go 	várra 	, áidna , maid leigga árben áhčisteaskka . ¶
Guhkkin boahtán gávpotguossit eai lean mat beare olbmuid , muhto sudno suonain golggai Máhtteádjá 	várra 	, mii earuhii sudno dábálaš guossis . ¶
Mis golgá seamma 	várra 	. ¶
Aiddo dál oinnii hui čielgasit ahte sudnos golggai seamma 	várra 	, dasgo nu ollu soai sulastahtiiga , go čohkkáiga das oktii čalmmiid beavdeguoras ja hálešteigga . ¶
gillun 	várra 	gávdná johtolaga ¶
Vai sámi 	várra 	go ii veaje ? ¶
Mus 	várra 	gen ruohtastii . ¶
Dál gal 	várra 	ruohtastii . ¶
« Ja duođas , dat lea vieris olmmoš , allon vajáldahte dan , gielaš ja duogáš áibbaš eará go mon , na juo – muhto dan olbmo rumaš lea liekkus olbmo hápmi , das lea sihkkarit liegga 	várra 	ja liegga salla . ¶
	Min Aigi – ¶
Jos buohkat ožžut sámegielfalaldaga mánáidgárddis , de 	várra 	jávká dát givssideapmi . ¶
Jos buohkat ožžut sámegielfálaldaga mánáidgárddis , de 	várra 	jávká dát givssideapmi . ¶
Ođđa , goalmmát ja 	várra 	vel maŋimuš essayčoakkáldat « cafe Boddu » ráiddus lea dál ilbman . ¶
Gelddolaš , ja 	várra 	vel issoras vuordámuš . ¶
Ii 	várra 	šat dán gease ¶
Ja dat lea 	várra 	dat buot heittomus dáinna lágiideamen . ¶
Mis lea maid nubbi kursa mii 	várra 	ii šatta unnán ohcciid geažil , ja dat lea máŋggabealet eanadoallu . ¶
Gal 	várra 	lei veahá erenoamaš deaivvadeapmi mu ja Hedningarna joavkku gaskkas , mojohallá Wimme hilbesláhkai go mun joatkán ságastallama Hedningarna joavkku ovttasbarggus . ¶
	VARRA 	: Várraiskkosat váldojuvvojit jeavddálaččat . ¶
	Várra 	galgá čajehit man gárremin lei . ¶
Leat dušše čoarvvit , duoljjit ja 	várra 	mii ávkkástallo . ¶
Dolin lei maiddái olles pyramiida málejuvon ruoksadin olggobeal ja lea 	várra 	leamaš oalle oainnahus mii oidnui máŋgga miilla duohken . ¶
Gii dan diehta , jos dát divrras diedut eai livčče lean boldot de livččejit 	várra 	Newtona diedut leamaš joavdelasat otne . ¶
Ja go jurdda3a ahte ná deahala3 guossi lei boahtán Olmmáivággái , de 	várra 	lea diehtujuohkin dán logaldallama birra leama3 menddo heaitot . ¶
	Várra 	galgá čájehit man gárremin son lei . ¶
